"champion","banrate","pickrate"
"Zeri",44.12,15.15
"Renata Glasc",33.88,17.83
"Zed",33.81,9.03
"Yuumi",28.42,9.13
"Yone",26.63,12.81
"Yasuo",26.54,15.37
"Maître Yi",25.94,10.12
"Morgana",25.84,10.2
"Akshan",23.95,6.83
"Akali",23.66,11.49
"Diana",22.82,15.52
"Shaco",22.57,8.49
"Tryndamere",19.73,8.13
"Darius",18.73,8.02
"Lulu",18.03,9.98
"Blitzcrank",17.17,8.11
"Irelia",16.98,8.95
"Viego",16.82,11.82
"Vayne",16.08,15.66
"Lux",14.91,23.09
"Pyke",14.69,10.44
"Vex",13.51,8.25
"Teemo",13.32,7.52
"Caitlyn",13.07,16.36
"Kayn",12.79,11.82
"Leona",11.87,8.57
"Hecarim",11.74,8.43
"Brand",9.78,8.34
"Fiora",9.75,5.77
"Kassadin",9.55,3.91
"Garen",9.14,12.47
"Senna",9,14.56
"Draven",8.96,5.34
"Evelynn",8.67,3.58
"Veigar",8.56,14.13
"Ahri",8.51,13.4
"Viktor",8.5,8.37
"Janna",8.41,8.65
"Katarina",8.2,7.08
"Nautilus",8.19,7.93
"Kha'Zix",8.01,9.07
"Gwen",7.92,7.53
"Samira",7.35,5.93
"Qiyana",7.21,6.03
"Jax",7.05,7.01
"Xerath",7.01,10.12
"Jinx",6.91,24.11
"Tahm Kench",6.86,3.54
"Mordekaiser",6.63,6.8
"Fizz",6.22,5.05
"Sett",5.99,8.12
"Jhin",5.96,22.67
"Twitch",5.73,8.97
"Nasus",5.66,6.46
"Lee Sin",5.62,11.12
"Warwick",5.57,7.45
"Camille",5.39,4.67
"Nocturne",5.3,5.93
"Trundle",4.81,7.19
"Dr. Mundo",4.73,5.08
"LeBlanc",4.68,3.99
"Xin Zhao",4.63,7.84
"Vladimir",4.49,4.6
"Malzahar",4.46,4.81
"Corki",4.41,5.98
"Ezreal",4.32,17.14
"Urgot",4.21,5.71
"Tristana",3.76,9.8
"Soraka",3.74,6.78
"Ekko",3.69,8.93
"Zyra",3.54,5.83
"Malphite",3.37,5.94
"Gangplank",3.37,6.83
"Yorick",3.32,3.92
"Cassiopeia",3.25,4.96
"Anivia",3.2,3.85
"Illaoi",3.11,2.64
"Thresh",2.91,9.28
"Vi",2.89,6.84
"Zilean",2.86,5.27
"Nunu et Willump",2.82,5.03
"Sylas",2.8,6.43
"Zac",2.67,5.3
"Rammus",2.49,2.67
"Kai'Sa",2.26,12.32
"Miss Fortune",2.25,11.76
"Graves",2.23,7.46
"Riven",2.18,4.9
"Volibear",2.16,7.14
"Amumu",2.1,5.06
"Kayle",1.99,5.39
"Aatrox",1.96,4.1
"Swain",1.74,3.55
"Rengar",1.72,3.68
"Nami",1.71,9.59
"Talon",1.48,2.71
"Fiddlesticks",1.45,3.32
"Renekton",1.43,4.02
"Shen",1.39,5.75
"Sion",1.34,5.77
"Cho'Gath",1.21,3.98
"Lucian",1.21,7.3
"Karma",1.17,7.48
"Quinn",1.15,2.37
"Aphelios",1.13,4.98
"Rek'Sai",1.06,2.28
"Vel'Koz",1.04,5.23
"Poppy",1.04,3.51
"Annie",0.98,2.75
"Ashe",0.89,6.16
"Lillia",0.87,3.43
"Syndra",0.86,3.57
"Séraphine",0.83,4.57
"Zoé",0.82,2.26
"Kindred",0.79,3.3
"Jayce",0.76,4.32
"Heimerdinger",0.75,1.93
"Gnar",0.7,3.24
"Elise",0.64,1.88
"Kled",0.62,1.53
"Sivir",0.61,3.53
"Pantheon",0.61,3.52
"Olaf",0.58,1.47
"Ornn",0.56,3.73
"Alistar",0.54,2.92
"Lissandra",0.52,2.55
"Karthus",0.5,2.41
"Shyvana",0.49,2.92
"Jarvan IV",0.48,4.82
"Wukong",0.45,2.5
"Bard",0.44,3.18
"Udyr",0.42,1.82
"Sona",0.41,4.19
"Ziggs",0.41,3.02
"Xayah",0.37,3.78
"Sejuani",0.36,3.14
"Braum",0.35,2.38
"Neeko",0.33,2.5
"Singed",0.31,2.47
"Kennen",0.27,1.6
"Kog'Maw",0.27,1.74
"Rakan",0.25,4.36
"Galio",0.24,2.45
"Aurelion Sol",0.24,0.83
"Rell",0.24,1.23
"Gragas",0.24,3.33
"Nidalee",0.22,2.16
"Orianna",0.21,3.21
"Ivern",0.19,1.12
"Ryze",0.17,2.81
"Kalista",0.17,1.36
"Azir",0.16,1.09
"Twisted Fate",0.16,2.68
"Varus",0.15,2.32
"Rumble",0.11,1.3
"Skarner",0.1,0.75
"Taric",0.09,1.17
"Maokai",0.08,1.28
"Taliyah",0.07,1.07
